fen,target_rating,target_themes,is_legal,is_puzzle,counter_intuitive
3k1rQ1/4b2P/2p2p2/4p3/4P3/3P4/p2q2PK/5R2 w - - 2 46,1660,"['advancedPawn', 'advantage', 'endgame', 'long', 'pin', 'promotion']",True,True,False
8/7p/4kp2/1p1p2p1/1P3P2/2PK2P1/7P/8 w - - 0 40,2208,"['crushing', 'endgame', 'long', 'pawnEndgame']",True,True,False
8/6p1/3k3p/8/pp1r4/3R1P1P/B3K1P1/8 b - - 1 46,1331,"['advancedPawn', 'crushing', 'endgame', 'veryLong']",True,True,False
3k3r/1Qp1bNp1/4b2p/3p4/3q4/rP1B4/2P2PPP/1K1R2R1 b - - 0 28,1941,"['crushing', 'hangingPiece', 'middlegame', 'veryLong']",True,True,False
1r5k/1p3p1p/4pp2/1N4r1/2P5/P3P3/5P2/R4R1K b - - 2 24,1973,"['endgame', 'mate', 'mateIn2', 'quietMove', 'short']",True,True,False
1r5N/1p2R1bp/p2k4/2pN3B/2Pn1P2/8/b5PP/6K1 w - - 2 26,1434,"['hookMate', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
5k2/3R2pp/4pp2/8/2p5/1p2N1P1/1P3PKP/2r5 b - - 1 31,1411,"['advancedPawn', 'crushing', 'endgame', 'short']",True,True,False
3q3k/pp2N2p/8/6P1/3bR1b1/5rP1/PP5B/3Q3K b - - 3 29,2162,"['advantage', 'master', 'middlegame', 'short']",True,True,False
1krrR3/p1p5/1p6/7Q/8/3q4/P4PPP/4R1K1 b - - 1 27,1273,"['advantage', 'endgame', 'long']",True,False,False
1r3rk1/3b1pnp/3p2p1/4b3/2qBP3/6PP/3QN1BK/1R3R2 w - - 0 23,1997,"['advantage', 'discoveredAttack', 'long', 'middlegame']",True,True,False
3rk3/R4p2/p6p/1p4pB/8/1b2P3/1P2KPPP/3R4 b - - 0 26,1383,"['advantage', 'endgame', 'short', 'skewer']",True,True,False
1r3r2/6qp/4B2k/p2N2P1/P4bP1/1P2Q3/2P5/2KR4 b - - 0 31,2535,"['crushing', 'middlegame', 'pin', 'veryLong']",True,True,False
4r2k/pp2r1p1/2p1qp1p/2P5/3P1P2/2Q5/2R2NPP/3R2K1 b - - 3 28,713,"['backRankMate', 'long', 'mate', 'mateIn3', 'middlegame', 'sacrifice']",True,True,False
r1bq1rk1/pp1n2pp/2Nb4/3p1p2/3PnB2/2NBP3/PP3PPP/R2Q1RK1 b - - 0 11,2056,"['advantage', 'hangingPiece', 'opening', 'short']",True,True,False
2k3r1/ppp2p1p/4nb2/1Q2N3/PP1PPp2/8/4K1PP/R7 b - - 0 23,1166,"['advantage', 'endgame', 'fork', 'short']",True,False,False
4r1k1/7p/pR4p1/2p5/2qr1pQ1/P3p2P/2P2PP1/1R4K1 w - - 0 34,2974,"['crushing', 'endgame', 'long', 'sacrifice']",True,False,True
8/1kp5/p6R/5p2/1Pr4p/P2KBP1P/1b4P1/8 b - - 2 40,1515,"['advantage', 'endgame', 'short']",True,True,False
r1bqkbr1/pp2np1N/3p2pp/4n3/4P3/8/PPP2PPP/RN1QKB1R w KQq - 0 11,1431,"['mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
7k/p6p/1p1b4/8/1P1pBPq1/3Q4/P6P/7K w - - 3 31,1187,"['crushing', 'defensiveMove', 'endgame', 'fork', 'long']",True,True,False
2kq3r/pp2np2/2b1p3/1N5p/3b1B2/8/PPP1QPPP/4R1K1 w - - 4 20,2252,"['advantage', 'middlegame', 'queensideAttack', 'short']",True,True,False
7k/2p4p/pb4p1/1p3p2/1P6/2P5/4rPPP/4RRK1 b - - 2 28,1019,"['crushing', 'deflection', 'endgame', 'fork', 'short']",True,True,False
5rk1/pp5p/2pN2p1/2P1n3/5Pq1/1P5b/P4RB1/Q5K1 w - - 3 25,1099,"['advantage', 'hangingPiece', 'middlegame', 'short']",True,True,False
8/5pk1/1n1Np1p1/Q2nP2p/3P4/p4B1P/1q3PPK/8 w - - 4 37,2061,"['crushing', 'endgame', 'long']",True,True,False
r1b1Q2r/pp1p1p1k/5Bnp/1q4p1/5p2/8/PPP3PP/2KR3R w - - 2 21,1406,"['master', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
5r1k/p1p2qpp/6b1/1P1QP3/8/4P1R1/PB4PP/3R2K1 b - - 0 26,1328,"['backRankMate', 'fork', 'long', 'mate', 'mateIn3', 'middlegame', 'sacrifice']",True,True,False
3r2k1/1p4pp/4p3/p1n1p3/5n2/5PP1/PPN1K2P/2NR4 w - - 2 23,1066,"['advantage', 'endgame', 'short']",True,True,False
r1b1kb1r/pp2pppp/1qnp4/6B1/4P1n1/1NN5/PPP2PPP/R2QKB1R b KQkq - 7 8,870,"['attackingF2F7', 'mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
1r3rk1/p1p1bppp/3q1n2/2n5/2Q5/2N2NP1/PP1PPP1P/R1B1K2R b KQ - 6 13,1761,"['advantage', 'attraction', 'discoveredAttack', 'long', 'middlegame', 'sacrifice']",True,True,False
3b4/3P1k2/2pB4/1p1bK1p1/2p3B1/2P5/P4P2/8 b - - 3 47,1210,"['bishopEndgame', 'crushing', 'deflection', 'endgame', 'long', 'skewer']",True,True,False
3k2r1/1p4NR/p7/P2pPP2/1r4p1/8/6K1/8 w - - 1 41,2450,"['advancedPawn', 'crushing', 'endgame', 'long']",True,False,False
r1r3k1/4qpbp/4p1p1/p1Bb4/8/PP2PN2/4QPPP/2R2RK1 b - - 2 21,863,"['crushing', 'middlegame', 'short']",True,False,False
8/8/8/p4p2/2pPkP2/2K5/1P6/8 w - - 1 38,1187,"['crushing', 'defensiveMove', 'endgame', 'pawnEndgame', 'quietMove', 'veryLong']",True,False,False
2r2r1k/3qbpp1/p6P/1p1ppP1n/3p3N/PB1P3P/1PPQ1P2/2KR3R b - - 0 20,2101,"['advantage', 'defensiveMove', 'hangingPiece', 'long', 'middlegame']",True,True,False
r6k/5p1p/p4p2/1p2nPr1/2P5/1B6/P4P1P/B4R1K w - - 1 28,1912,"['advantage', 'endgame', 'fork', 'short']",True,True,False
r5k1/p3prb1/4BnP1/3p4/q1nP1B2/1p2PPN1/PRp4R/K3Q3 b - - 0 26,1315,"['advantage', 'long', 'middlegame', 'sacrifice']",True,True,False
r3r1k1/pp3pp1/5Q1p/2b1q3/8/4PP1P/P2PKP2/6RR w - - 1 20,1619,"['kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
4kb2/Bp6/p4p2/4p3/8/2PQK1P1/PP5r/3R3q b - - 8 29,1235,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
8/p3k3/1p2pp1p/1Pb1P1P1/P1K1B2P/8/8/8 w - - 0 42,2371,"['advancedPawn', 'bishopEndgame', 'crushing', 'endgame', 'long']",True,False,False
6k1/pp3pp1/1bp1b2p/2q5/P6P/2PrR1P1/5PB1/2Q2RK1 b - - 2 23,2209,"['advantage', 'fork', 'long', 'master', 'middlegame', 'sacrifice']",True,True,False
7q/1r2pQ2/2p5/p1B1P1pB/3Pk3/2p1b3/P1P3P1/7K w - - 2 38,989,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
1k5r/ppp5/1r3pRp/4pB2/1n1pPP2/qP1P3P/2PQ1P2/1K4R1 w - - 1 24,736,"['backRankMate', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
r1b1k2r/ppp2Npp/2n5/3Bp3/4n3/3PQ3/PPq3PP/RNB3KR b kq - 0 11,1220,"['kingsideAttack', 'mate', 'mateIn2', 'opening', 'short']",True,True,False
2k1r1r1/bp3p2/n1p5/P2p3p/3P3B/N1n2q2/2Q1R1PP/R5K1 w - - 0 29,1619,"['crushing', 'middlegame', 'short']",True,False,False
2r2rk1/pb2qpp1/1p2pn2/4N1p1/3P1P2/2PB4/P3Q2P/R4RK1 w - - 0 18,1429,"['crushing', 'long', 'master', 'middlegame']",True,False,False
2k5/1bp3pp/1p2p3/2n1b3/2P5/Q4BqP/PP1r2P1/4RRBK b - - 0 25,2366,"['kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'sacrifice', 'short', 'xRayAttack']",True,True,False
r1q2rk1/2p3p1/pbp2n2/7P/7B/2N2Q1N/PP3P1K/R2R4 b - - 1 24,1042,"['crushing', 'discoveredAttack', 'middlegame', 'short']",True,True,False
3r2k1/1p1r1pp1/1n2p2Q/2p2q2/1PPP2R1/7P/4NPP1/3R2K1 b - - 0 28,1436,"['advantage', 'middlegame', 'short']",True,False,False
4rr1k/pp4pp/4Q1p1/2P5/3B4/2P2Pq1/P2n2P1/R4RK1 w - - 3 24,1933,"['advantage', 'middlegame', 'veryLong']",True,False,True
1k1r1b1r/npp2pp1/5n1p/1N6/8/1P3N2/1P2qPPP/R2R2K1 w - - 0 17,1415,"['attraction', 'deflection', 'hangingPiece', 'long', 'mate', 'mateIn3', 'middlegame', 'queensideAttack']",True,True,False
3rqr2/1p1b2pk/p1p2p2/4pP2/4n3/1B2BR2/PPP3PP/R5K1 w - - 0 22,592,"['mate', 'mateIn2', 'middlegame', 'short']",True,True,False
r2qkb1r/p5pp/2p1p3/3p4/3P3n/2P2Q1P/PP4P1/RNB2RK1 w kq - 4 17,1251,"['mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
r2q2k1/4p1bp/1p4p1/pB1pn3/P3n3/2P1N3/1PQ2rPP/R1BR2K1 w - - 0 18,1636,"['advantage', 'long', 'middlegame']",True,True,False
r5k1/1pp2rp1/pbnp2P1/4p1q1/PP2P1b1/1QPP4/R4PP1/1N2K2R w K - 0 16,876,"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
r1b2rk1/2R2ppp/4P3/p2q4/2p5/P6P/4Q1P1/5R1K w - - 0 28,2261,"['advancedPawn', 'crushing', 'long', 'middlegame']",True,False,False
3r2k1/pp3p2/6pR/6P1/8/P1r5/2P5/1KR5 w - - 0 35,1385,"['advantage', 'endgame', 'quietMove', 'rookEndgame', 'veryLong']",True,True,False
r2qnr1k/pppb2pp/2n4B/3Nb3/8/P5QP/1PP1B1P1/R4RK1 w - - 0 19,1420,"['hangingPiece', 'kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
2r1r1k1/pp3ppp/1q2b3/8/8/1BP1nN2/P3Q1PP/3RR2K w - - 8 23,1464,"['advantage', 'middlegame', 'short']",True,True,False
6N1/1R5p/3pk1p1/6n1/4P1P1/7r/8/5K2 w - - 0 40,600,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
5rk1/6pp/Q3p3/3p4/3n2q1/P7/1PPN3P/2KR4 b - - 0 26,1605,"['crushing', 'discoveredAttack', 'endgame', 'long']",True,True,False
r4rk1/p1p1b1pp/8/q3p1B1/1nQpP1P1/1P3N1P/2P2P2/1K1R3R b - - 2 19,2228,"['crushing', 'defensiveMove', 'long', 'middlegame', 'sacrifice']",True,True,False
rnbqk2r/pp3ppp/3b4/2p5/2B5/2N2Q2/PP1Pn1PP/R1B1K2R w KQkq - 0 10,1358,"['attackingF2F7', 'mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
2r3k1/1Q3ppp/8/8/4B3/2q1P3/R4PPP/4R1K1 b - - 0 24,680,"['endgame', 'hangingPiece', 'mate', 'mateIn1', 'oneMove']",True,True,False
rn1q1rk1/4bp2/b2p1n1B/p7/Pp2P3/1p3Q2/1PP2PPP/1NKR3R w - - 0 17,937,"['advantage', 'middlegame', 'short']",True,True,False
1r3rk1/1pR3pp/1p1p4/1q1np3/bP2N3/5N2/P2Q1PPP/R5K1 w - - 0 25,2037,"['advantage', 'middlegame', 'short']",True,True,False
8/3r2kp/P5p1/8/4P3/R2n1R1P/3r1PP1/5K2 b - - 0 38,2707,"['crushing', 'defensiveMove', 'endgame', 'long']",True,True,False
2rr1bk1/R4pp1/4p1bp/1q1n4/1p2N3/5QBP/1P3PP1/1B2R1K1 w - - 4 30,2002,"['advantage', 'discoveredAttack', 'fork', 'master', 'middlegame', 'short']",True,True,False
R7/8/2p2r1k/P4p1p/3PpP1q/6p1/3B3Q/6RK b - - 0 43,539,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
4r1k1/6p1/4Rp2/Pp1P1q2/5Q2/4BK2/6PP/8 b - - 8 36,1648,"['advantage', 'endgame', 'fork', 'long']",True,False,False
4rk2/1p5p/6p1/pBpP1p2/P2R4/1P5P/6P1/6K1 b - - 0 39,1819,"['crushing', 'endgame', 'master', 'short']",True,False,False
5r1k/2b1Npp1/1p2p2p/1qn5/3Q4/P7/1R3PPP/3R2K1 b - - 1 26,2145,"['advantage', 'middlegame', 'short', 'trappedPiece']",True,True,False
8/N1P1kp2/1p3p2/2b5/4P1B1/P5r1/1P3r2/R2K4 w - - 0 33,2575,"['advancedPawn', 'advantage', 'clearance', 'endgame', 'promotion', 'quietMove', 'veryLong']",True,False,True
r1bq1rk1/4bpp1/2p1p2p/1pPp4/1P4Q1/P3P2P/1B1N1PP1/R3R1K1 w - - 1 19,399,"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
rq1r2k1/5p1p/1pR3p1/1P6/3bN3/3P2PP/5P2/3Q1RK1 b - - 7 28,2014,"['advantage', 'master', 'middlegame', 'short']",True,False,True
5rk1/6pp/pqp1p3/4P3/1PK5/2P3P1/P3Q2P/3R4 b - - 0 28,995,"['crushing', 'endgame', 'short', 'skewer']",True,True,False
r1bqk2r/pp3pb1/2np2p1/2p1p3/4P1p1/2NP4/PPPBBPPN/R1Q2RK1 b kq - 1 11,1741,"['crushing', 'master', 'opening', 'short']",True,True,False
1r3rk1/ppp2pp1/8/8/1nP5/1P5R/PbBq1PPP/1Q4K1 w - - 2 21,1389,"['discoveredAttack', 'kingsideAttack', 'mate', 'mateIn4', 'middlegame', 'veryLong']",True,True,False
8/8/8/1pR1p1b1/3pk2P/P2bP1P1/1P1B1K2/8 b - - 0 44,1422,"['advancedPawn', 'crushing', 'endgame', 'fork', 'short']",True,True,False
6k1/2p1r3/1p1p2p1/p2P2N1/P1P3PQ/3bq2P/5R1K/8 w - - 1 41,1542,"['attraction', 'endgame', 'mate', 'mateIn2', 'sacrifice', 'short']",True,True,False
6k1/p4p2/8/1rp3p1/R1P3r1/P1K5/2B5/8 w - - 0 42,1188,"['crushing', 'endgame', 'hangingPiece', 'short']",True,False,False
rnbqkb1r/ppppp2p/8/7p/2PPp3/8/PP3PP1/RNBQKBN1 w Qkq - 0 7,459,"['mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
8/5kp1/p1r2n2/2p5/P1RB1n1N/7P/6P1/6K1 b - - 0 40,830,"['crushing', 'endgame', 'short']",True,False,False
3r2k1/p3pp1p/2Q3pb/q3P3/N4P2/P5P1/3r3P/2R2R1K w - - 1 25,1708,"['crushing', 'master', 'middlegame', 'short', 'trappedPiece']",True,True,False
1rr5/p3p1k1/3p1pPp/q1pP1Q2/4P3/2N2R2/P5bP/6K1 w - - 0 28,2171,"['advantage', 'middlegame', 'short']",True,True,False
6k1/2p2bp1/1b5p/1p6/1P2p3/2P1N1B1/1P1r1PPP/3R2K1 b - - 3 34,1203,"['advantage', 'endgame', 'short']",True,True,False
3r2k1/1bqr1ppp/pp6/2b5/P1NB4/2P4P/1P3PP1/R2QR1K1 b - - 0 24,1614,"['crushing', 'discoveredAttack', 'middlegame', 'short']",True,False,False
8/2p1kpp1/3r3p/8/1P1N4/2P3P1/4KPP1/8 w - - 5 38,720,"['advantage', 'endgame', 'fork', 'short']",True,True,False
8/1r6/1PkP1P2/2B1K3/7p/5p2/5P2/8 w - - 0 65,2610,"['crushing', 'defensiveMove', 'endgame', 'master', 'quietMove', 'short']",True,False,False
8/R1r5/1p5p/1kq1pr2/1N1p4/P2P1p2/1PP4P/2K2Q2 w - - 1 37,2248,"['crushing', 'endgame', 'long', 'sacrifice']",True,True,False
2rq2k1/4r2p/1p4p1/p2PnpQ1/PPPp4/3B3P/5PP1/R3R1K1 b - - 2 27,1294,"['advantage', 'discoveredAttack', 'kingsideAttack', 'long', 'middlegame']",True,True,False
8/8/1p1k2pp/p2p4/3K1PPP/1PP5/8/8 w - - 1 38,2578,"['advantage', 'endgame', 'pawnEndgame', 'short']",True,True,False
1r6/1P4R1/2P5/8/5k1K/8/8/8 b - - 0 83,651,"['endgame', 'mate', 'mateIn2', 'rookEndgame', 'short']",True,True,False
8/p4pp1/7p/4k3/1p1pP1P1/1Pp2PP1/P1PK4/8 w - - 0 32,1475,"['advantage', 'defensiveMove', 'endgame', 'pawnEndgame', 'short']",True,True,False
8/1b3k1p/pp3pp1/1N6/4nP2/6P1/P5BP/5K2 w - - 0 29,1392,"['crushing', 'endgame', 'fork', 'long']",True,True,False
2rr3k/6Rp/8/4pP1Q/pp1nn3/3q2bP/PP5K/1N1B2R1 w - - 1 33,1119,"['advantage', 'long', 'middlegame']",True,True,False
1k1nRb1r/ppp2Npp/3q4/8/2P3Br/3P4/PP3P2/R1BQ2K1 b - - 0 18,2293,"['clearance', 'crushing', 'middlegame', 'short']",True,True,False
5rk1/pbp3pp/1p1pB2r/3Pn2q/1PP2p1P/P4P2/2Q2BP1/4RRK1 b - - 4 26,2203,"['crushing', 'master', 'masterVsMaster', 'middlegame', 'short']",True,True,False
3r4/Qp1k4/p1p2p2/8/3rb1Pp/5q1p/PP3P1B/2R1R1K1 w - - 1 33,2342,"['advantage', 'hangingPiece', 'middlegame', 'short']",True,True,False
4r1k1/pp1n1N1p/2pB1rp1/q2n1p2/2pP3Q/8/PPB2PPP/R2KR3 b - - 0 20,765,"['mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
rnbq3r/ppp1n2k/3p3p/4P1p1/4Pp2/1QP5/PP4PP/RNB2RK1 w - - 2 12,813,"['mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
1rbr2k1/ppN2ppp/3p4/4R2q/8/1B4Q1/PPP2PPP/3R2K1 b - - 0 19,841,"['hangingPiece', 'kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
4r1k1/8/8/p5pR/2PnB3/3P2p1/P7/6K1 b - - 2 38,2044,"['advancedPawn', 'attraction', 'crushing', 'endgame', 'exposedKing', 'fork', 'master', 'veryLong']",True,True,True
2Q5/8/N7/K2p4/P2kp3/1q6/7P/8 b - - 6 55,1899,"['crushing', 'endgame', 'quietMove', 'veryLong']",True,True,False
4r1k1/2pb1p1p/3p1qp1/3P4/1pP5/1P1B1P2/5QPP/4R1K1 b - - 12 38,1336,"['crushing', 'endgame', 'fork', 'long']",True,False,False
r3k2r/pp1bbpR1/1q2p2p/3p3Q/4n3/2NB1P1P/PPPB1P2/R3K3 b Qkq - 2 17,1233,"['attackingF2F7', 'master', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
5r2/1p2k1p1/2p3R1/p2pP1R1/3P4/2PK4/PP3r2/8 b - - 8 39,1080,"['endgame', 'mate', 'mateIn1', 'oneMove', 'rookEndgame']",True,True,False
2q2r2/1pp2rpk/p1np1n1p/3bp3/4P2N/P2QP1PP/1PP3BK/3R1R2 w - - 0 19,1177,"['crushing', 'discoveredAttack', 'master', 'middlegame', 'short']",True,True,False
3r3k/pR3Qp1/7p/6qP/5p2/P1P5/5PPK/8 b - - 0 34,1122,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
5rk1/3q1p1p/2Q1b1p1/8/2Bp4/r5P1/2P2P1P/1R2R1K1 w - - 3 28,1679,"['crushing', 'middlegame', 'short']",True,False,False
rn1q1k1r/p1ppp1bP/1p3n2/4N2Q/3P4/3B4/PPP2P1P/RNB1K2b w Q - 2 10,762,"['mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
r2qrnk1/1bp2p1p/1p1p1p2/3N1P1Q/4PR2/1P6/PP4PP/R5K1 w - - 5 21,1556,"['crushing', 'kingsideAttack', 'middlegame', 'veryLong']",True,True,False
8/4k3/2q2pp1/P6p/1Q5P/2p1P1P1/5K2/8 b - - 1 51,2164,"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'queenEndgame', 'short']",True,True,False
r2q1rk1/1pp2ppp/1pp5/4B3/1P2P2n/P2P1P2/2PQ1P1P/R4KR1 b - - 1 16,2110,"['advantage', 'fork', 'long', 'middlegame']",True,True,False
4r1k1/pp3p1p/2n2p2/2b5/N7/7Q/P1B1qPPP/3R2K1 w - - 2 25,2245,"['crushing', 'long', 'middlegame']",True,True,False
4r1k1/bb2rpp1/p2P3p/1p6/3P4/1P4P1/P1NQqP1P/4R1K1 w - - 0 25,2018,"['advancedPawn', 'advantage', 'long', 'middlegame', 'promotion']",True,True,False
8/4k3/1b2P3/p2K4/1p3P1p/2p4P/P7/2B5 w - - 1 40,2292,"['bishopEndgame', 'clearance', 'crushing', 'endgame', 'exposedKing', 'quietMove', 'veryLong']",True,True,False
1k6/p7/Pp2p3/3P4/1R2P2p/2PP4/1K6/6r1 b - - 0 42,1751,"['advancedPawn', 'crushing', 'endgame', 'rookEndgame', 'short']",True,True,False
7r/5p2/3kp1p1/K2pR1P1/3P1P1r/2P5/1P3R2/8 b - - 0 50,2599,"['crushing', 'endgame', 'quietMove', 'rookEndgame', 'veryLong']",True,False,False
r3r1k1/4bppp/3pp1n1/1p6/3P4/2P2q1P/1PB2P1B/R3RQK1 w - - 0 26,1699,"['crushing', 'fork', 'long', 'master', 'middlegame']",True,True,False
7k/6p1/p1p4p/3q4/3n3P/PP1Q2P1/5P2/4B1K1 b - - 0 35,1051,"['crushing', 'endgame', 'fork', 'short']",True,True,False
b4rk1/4bppp/p1q5/4p3/2P1n3/6P1/PP2QBBP/R4RK1 b - - 1 21,2380,"['crushing', 'long', 'middlegame']",True,True,False
r3k2r/pb1p1ppp/1p3nq1/2n1N3/5Q2/NPP1P2P/PB2BPP1/R4RK1 b kq - 4 17,578,"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
2r5/4Qrkp/2p3p1/3P1p2/P1R2q2/7P/6P1/2R3K1 b - - 0 32,1758,"['crushing', 'endgame', 'short']",True,True,False
8/1pk3p1/5p2/1PPppPn1/6Pp/4P2P/2K5/5B2 b - - 0 29,2183,"['crushing', 'endgame', 'long']",True,False,False
6r1/8/8/2P4R/1K6/P5k1/2P4p/8 b - - 1 43,1463,"['advancedPawn', 'crushing', 'endgame', 'master', 'promotion', 'rookEndgame', 'veryLong']",True,True,False
r2q1k2/pppb2pQ/4p2r/5R1P/2PP4/2KB1R2/PP3PP1/8 b - - 0 26,1364,"['crushing', 'middlegame', 'short']",True,True,False
8/p5k1/6r1/1q1pp2R/4P3/4QK2/5P2/8 w - - 0 39,1241,"['crushing', 'endgame', 'exposedKing', 'long']",True,True,False
8/4kpp1/R2b4/3p4/2np2Q1/4P1P1/3q1P2/6K1 w - - 6 35,2770,"['crushing', 'deflection', 'endgame', 'veryLong']",True,True,False
r4r1k/1pqb2pp/p7/3Q2PB/8/1PP1P2P/PK6/3R3R b - - 0 24,2304,"['crushing', 'long', 'middlegame']",True,False,False
2r5/kpQ2p2/r2R3p/4pb2/2N1q3/8/PP3P1P/K1R5 w - - 4 28,1338,"['attraction', 'mate', 'mateIn2', 'middlegame', 'pin', 'short']",True,True,False
3r2r1/2p4k/1pq2pp1/p3R2p/2P5/1P2QP2/P5P1/4R1K1 w - - 0 37,1134,"['attraction', 'crushing', 'endgame', 'fork', 'veryLong']",True,True,False
6k1/p6p/1pr1NBp1/8/1p6/8/P2r2PP/5R1K w - - 6 33,1834,"['advantage', 'endgame', 'master', 'short']",True,True,True
5r1k/r3b1pp/p7/3BpP2/b7/8/1P1B2PP/2R2R1K b - - 2 25,2277,"['crushing', 'middlegame', 'short']",True,False,False
1k6/1p4p1/1pp1p3/8/5q2/Q4P1p/PPP3r1/1K1R4 w - - 0 32,1337,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
6k1/5ppp/Rp2p3/1P6/2nr1PP1/8/5K1P/8 w - - 2 36,569,"['backRankMate', 'endgame', 'mate', 'mateIn2', 'short']",True,True,False
r1b2rk1/p4pp1/1bN1p2p/8/1PPq4/P2B3P/5PP1/R2QK2R b KQ - 0 18,1221,"['attackingF2F7', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
5k2/p1P2p1p/2BR1p2/8/8/6P1/5PKP/q5r1 w - - 2 38,1617,"['advantage', 'endgame', 'long', 'master']",True,True,True
8/p1r1kRpp/R1r1P3/8/1p6/6P1/5P1P/6K1 b - - 2 36,1006,"['advantage', 'endgame', 'rookEndgame', 'short']",True,True,False
r4rk1/p4ppp/b4b2/3q4/8/PN2P2P/R1P1NPP1/3Q1RK1 b - - 3 18,1297,"['capturingDefender', 'crushing', 'middlegame', 'short']",True,True,False
2r5/6pk/5p1p/5P2/3P1P1N/bP4P1/P2R3P/1K6 b - - 0 41,456,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
8/6k1/6b1/1p2q3/8/7P/2PQ4/5R1K b - - 0 64,1199,"['crushing', 'endgame', 'short']",True,False,False
8/8/3p1k2/R2P3K/5PP1/3r4/8/8 b - - 0 63,937,"['endgame', 'mate', 'mateIn1', 'oneMove', 'rookEndgame']",True,True,False
2R5/1k2r1pp/bp6/4P3/1K6/P1R3B1/6rP/8 b - - 1 39,1292,"['crushing', 'endgame', 'long']",True,True,False
r1b1k1n1/p2p1p2/2p5/q5bQ/4P3/2P3B1/PP4P1/RN2KB2 b Qq - 0 13,1188,"['crushing', 'discoveredAttack', 'middlegame', 'short']",True,True,False
8/p3R2p/1p3pk1/6p1/3Q1nPq/1B5P/PP3P1K/8 b - - 0 34,1283,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
3r2k1/1n3ppp/p1p5/1p1Pq3/1P2N3/P5P1/5P1P/2RQ2K1 w - - 2 25,1652,"['crushing', 'endgame', 'sacrifice', 'short']",True,True,True
3q1k2/1Q2b1p1/1pP2n2/p4PB1/P7/3p4/5PPP/6K1 w - - 0 35,1252,"['advancedPawn', 'crushing', 'endgame', 'short']",True,True,False
r2qk2r/1ppbp3/p1n2b1p/3p1pN1/3Pp2P/1BN5/PPP3P1/R2Q1RK1 w kq - 0 17,1344,"['mate', 'mateIn2', 'middlegame', 'short']",True,True,False
5r1k/6rn/2Qp3p/5B2/4p3/P7/5qPP/R3R1NK b - - 0 38,1028,"['mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
4R3/6p1/6pp/Bp1kn3/2p3PP/2P3K1/3r4/8 w - - 9 42,1006,"['advantage', 'endgame', 'short', 'skewer']",True,True,False
r1b1k2r/pp1p1ppp/1qn1pB2/8/4P3/5N2/PPPNKbPP/R2Q1B1R b kq - 1 9,784,"['master', 'mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
r3k2r/p3bppp/2p1q3/2P5/1P1P2n1/P1N1B3/5PR1/R2QK3 b Qkq - 0 17,934,"['advantage', 'middlegame', 'short']",True,False,False
1r4k1/6b1/2pQ2R1/p2p4/P7/1P6/2P1r3/1K6 b - - 1 35,1003,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
8/R7/3p1rp1/2p1p2p/1pPnPk2/1P3P1P/5KP1/3B4 w - - 2 44,2156,"['crushing', 'endgame', 'quietMove', 'short']",True,True,False
1k1r4/ppp2pb1/4b2p/5qp1/1P3p2/5N2/1P3QPP/R1BrR1K1 w - - 3 23,1466,"['crushing', 'interference', 'long', 'middlegame', 'queensideAttack']",True,True,False
r2qr1k1/pp3ppp/3b1n2/8/2P2B2/2NP2Q1/PP3PPP/R4RK1 b - - 6 14,1520,"['advantage', 'middlegame', 'short']",True,True,False
